date,temperature,precipitation,humidity,wind,wind_direction
2024-02-08,8.069244,0.0,79.13437,2.0984101,1.4724863890395041
2024-02-09,6.3954163,0.0,79.1696,2.2155292,1.150709562787938
2024-02-10,13.581207,0.0,49.744717,3.0237713,1.9583655842514194
2024-02-11,15.990387,0.0,38.030975,5.8516955,2.260090187480375
2024-02-12,11.413239,0.0,69.92603,2.9981413,1.7169796156618387
2024-02-13,7.430084,0.16721891,91.91614,2.957293,0.0447154027894258
2024-02-14,7.0135803,0.12637892,83.02189,3.1192746,-0.6358863093953324
2024-02-15,1.210846,0.0,91.82408,1.9897268,-0.0333594136533785
2024-02-16,1.5128479,0.0,93.2188,1.7061639,2.3164197810567853
2024-02-17,4.6964417,0.0,74.78632,2.746091,2.50668875867341
2024-02-18,6.882965,0.0,85.28397,2.6926155,-0.22825888477693623
2024-02-19,4.6319885,0.0,87.77293,0.8867441,1.5336491190996817
2024-02-20,5.611969,0.052670397,86.60019,1.6741506,-0.2708335624350926
2024-02-21,6.6041565,0.12436311,89.464096,1.92933,0.16668830219053066
2024-02-22,3.0353088,0.0,91.66754,2.2279885,1.7946438257238189
2024-02-23,11.274567,0.0,48.76645,3.4002366,1.6237278409781508
2024-02-24,14.442291,0.0,50.73307,5.314384,2.3199767123091433
2024-02-25,11.694977,0.57102484,78.70376,2.3376822,1.7526407010072047
2024-02-26,10.332428,0.0,81.700005,2.075394,2.0774112506750853
2024-02-27,12.4618225,0.0,67.594055,4.758553,2.4618626141295885
2024-02-28,12.316803,0.0,66.41181,3.8636215,2.5372419947265956
2024-02-29,11.016998,0.0,71.6899,2.94467,2.531022207711125
2024-03-01,11.911041,0.02768077,69.10343,6.6642356,2.667474882518899
2024-03-02,11.127838,0.033719856,77.21265,5.099678,2.5221395143029905
2024-03-03,8.21402,0.0,86.346855,2.822353,2.43526647746152
2024-03-04,9.319977,0.0,76.9661,3.2555752,2.3797431363007373
2024-03-05,9.694733,0.0,76.18192,3.1478763,2.7219660973394193
2024-03-06,9.6041565,0.018474383,90.27055,2.3507974,0.5434085135964779
2024-03-07,9.180817,0.18975224,89.21683,1.1995306,2.5564312879338957
2024-03-08,6.5990295,0.007772549,84.01553,1.9808065,2.5780135435805853
2024-03-09,4.5033264,0.0,84.63751,3.194742,2.7231900663110062
2024-03-10,10.058258,0.0060388027,75.9786,4.576231,2.3398480898257805
2024-03-11,15.431305,0.0,45.436558,4.244496,2.1331561784553763
2024-03-12,8.080231,0.0,88.63825,1.0892625,1.8968761128965443
2024-03-13,9.098785,0.19334687,86.622826,4.0952573,-0.1049119890592228
2024-03-14,10.375885,0.06616916,78.35236,4.083361,-0.43316014068683284
2024-03-15,8.355133,0.0,84.46233,1.2963635,2.072910079514607
2024-03-16,6.7325745,0.0,76.46306,1.9067559,2.3777572227916046
2024-03-17,10.544098,0.0029128077,86.48647,1.012833,-0.28640285325715303
2024-03-18,6.7723694,0.0,80.06351,1.6345009,-2.311244504445951
2024-03-19,8.694,0.0,71.90401,1.6427368,-1.8853640459278114
2024-03-20,0.70718384,0.0,79.959656,2.0871751,-0.17507062778727395
2024-03-21,2.6283264,0.0,80.36416,1.9293703,1.1744173037043544
2024-03-22,7.2137756,0.0,75.257805,1.7068541,-0.3922512217204365
2024-03-23,6.8868713,0.0,78.455055,2.028146,1.218549841901147
2024-03-24,13.300201,0.0001897426,52.720512,3.2064614,-0.3682766032450369
2024-03-25,3.2687073,0.0,95.896774,2.2101429,0.3111094078309182
2024-03-26,4.5379944,0.0,80.030975,2.4369109,1.9988127785899934
2024-03-27,9.800934,0.40027103,78.97583,6.8484898,2.362798410123361
2024-03-28,15.381256,0.0,73.00077,5.744289,2.331869543471074
2024-03-29,16.453278,0.0,51.079144,4.254202,1.301810568527988
2024-03-30,14.146149,0.0,73.386765,2.44962,1.812007155181363
2024-03-31,18.65982,0.0,30.488773,3.2123592,1.9598497290854346
2024-04-01,20.282623,0.0,30.77248,4.2513947,1.6303255399187762
2024-04-02,20.604156,0.0,34.50101,5.5597315,1.2142757968141262
2024-04-03,9.581696,0.0,83.85268,2.514622,0.42030471056732727
2024-04-04,12.979645,0.0,69.08185,1.7157693,0.3220491312267957
2024-04-05,11.1354065,0.0,76.770096,2.0163155,1.4942437611769759
2024-04-06,11.3541565,0.0,82.50354,2.0319238,1.2514441190636458
2024-04-07,13.30191,0.0,80.43521,2.1870394,0.4487992264248513
2024-04-08,15.784576,0.0,57.9723,3.9538245,2.3144399053850466
2024-04-09,15.685211,0.0,54.77708,3.7635648,2.471550604485372
2024-04-10,16.961823,0.0,49.344227,3.3984163,2.5543274106959353
2024-04-11,13.051666,0.0,75.605865,3.962303,-0.263014280220499
2024-04-12,12.486969,0.0,84.61073,2.8527813,0.15218162208592875
2024-04-13,13.88858,0.0,85.2682,1.6922826,-0.2149837673431497
2024-04-14,12.461578,0.0,79.38978,1.9320158,0.314212682889055
2024-04-15,13.719147,0.0,73.28651,2.5355484,1.963489990013606
2024-04-16,17.565826,0.0,49.023357,2.0541923,0.8361743089522389
2024-04-17,6.5934143,0.19297704,86.336235,3.1952477,-0.7257420361624538
2024-04-18,6.7103577,0.2850848,94.03249,4.040989,0.07791355997361948
