date,temperature,precipitation,humidity,wind,wind_direction
2016-01-01,-7.6233826,0.0,89.91484,1.7696341,2.372264049710145
2016-01-02,-4.078949,0.00043001678,86.72193,0.82714045,2.5368427744554785
2016-01-03,-4.370453,0.024017587,76.62535,4.1542053,-2.865976108315957
2016-01-04,-9.2725525,7.47126e-05,78.123375,3.5561926,1.5549141434809037
2016-01-05,-5.1336365,0.031874385,87.49939,1.403849,-0.7569247158703716
2016-01-06,-1.2308044,0.045562804,94.85265,2.6521964,-2.5674384819905054
2016-01-07,0.57901,2.204759,99.80444,2.9498081,-1.6218934235905016
2016-01-08,-3.4178162,0.0,99.83609,0.730425,-0.48531315980227074
2016-01-09,2.1837463,0.0838612,93.57735,2.890266,2.154708477651308
2016-01-10,5.8424377,0.19145934,91.00855,2.4221857,1.690818642707223
2016-01-11,5.063629,0.0,97.531494,3.3712778,1.5211485171745218
2016-01-12,10.741364,0.810059,86.69356,5.4014153,-0.5080687447307985
2016-01-13,3.0699768,0.0,91.41256,2.1084845,-0.30457981919922816
2016-01-14,3.1273499,0.0,84.13895,4.2608376,-0.021847483714400893
2016-01-15,3.2486877,0.00082904316,85.40384,2.8631446,2.125971456177103
2016-01-16,-0.34750366,0.0,90.53372,3.346452,-0.49738559734175386
2016-01-17,-0.4270935,0.0,76.79023,5.687917,-1.7398350836184233
2016-01-18,-3.73349,0.0035468366,74.04424,5.796161,-1.543570583182867
2016-01-19,-4.397064,0.0,78.054825,2.0697484,-0.9121245895551483
2016-01-20,-6.7757263,0.0,85.17218,2.0836186,2.518252423781678
2016-01-21,-2.9790955,0.0,83.69768,1.2334687,0.20201001123029427
2016-01-22,-5.60849,0.00043311503,76.64521,1.8197099,-0.8668692965485735
2016-01-23,-8.153168,0.0,91.531975,2.3290312,2.1853558885768614
2016-01-24,-3.0047302,0.03318094,79.82585,1.260587,1.3435202552867076
2016-01-25,-1.8919373,0.0001494252,94.308,1.1666954,2.1679865466207167
2016-01-26,2.183258,0.0042319815,94.78862,2.873243,-0.43106835115151854
2016-01-27,1.4984436,0.0,99.63658,2.0903857,2.3686744356634883
2016-01-28,2.264801,0.0,98.02956,2.6420097,0.4983207274773233
2016-01-29,5.2342834,0.0,93.222145,2.3622763,-0.4569840045631833
2016-01-30,-0.87753296,0.00047683716,98.19446,1.2460104,1.0900736880377562
2016-01-31,9.1058655,0.0,79.234924,5.3434734,1.0399299187699922
2016-02-01,3.8365784,0.27129123,92.541695,1.7355154,1.7562968917658122
2016-02-02,6.9667053,0.0,95.173195,2.2056832,1.0336553749195116
2016-02-03,8.523834,0.0,90.481224,2.932043,0.45919462030113284
2016-02-04,4.066559,0.27384353,94.32722,6.3593874,-1.3530512543907158
2016-02-05,-0.6236267,0.0,90.43985,2.1263294,-0.38247886299095785
2016-02-06,-1.0762634,0.0,87.51089,2.2899516,-0.43040224555660755
2016-02-07,1.5404358,0.0,82.38208,3.7162833,2.177082270190002
2016-02-08,3.788971,0.0,75.727295,3.3802085,1.6580075007597477
2016-02-09,10.180084,0.0,67.48103,4.4904585,1.390141898354791
2016-02-10,9.804108,0.0,65.60891,4.935148,1.827035237427565
2016-02-11,4.1549377,0.0071253334,85.83433,4.348306,-0.05734436358164175
2016-02-12,0.377594,0.0,91.68857,2.5787468,-2.067601729681065
2016-02-13,6.7811584,0.0024871288,74.60536,5.7488613,2.0219548094582827
2016-02-14,2.500885,0.0,97.12291,2.9970045,1.8610963485808614
2016-02-15,11.480377,0.0017183902,76.90483,3.029003,1.4738632848256794
2016-02-16,6.0973206,0.0,99.17847,1.6673502,-0.532102945523261
2016-02-17,5.077301,7.47126e-05,91.08384,4.310537,-2.06242916374168
2016-02-18,10.466949,0.0,74.76179,5.1834188,1.9238391326626707
2016-02-19,7.726471,0.044257,86.0027,4.557806,2.1160768419023555
2016-02-20,2.4671936,0.0,90.513435,2.8168578,0.12943467323057178
2016-02-21,2.6073303,0.00023686943,82.03523,2.7711778,1.1185722084202323
2016-02-22,7.9132385,0.0,75.16185,3.8400517,0.6811336736910863
2016-02-23,9.214752,0.0,77.80549,2.6174533,0.9321079526476317
2016-02-24,8.621002,1.0760636,91.854355,3.2998638,0.5904222491174388
2016-02-25,-0.8506775,0.0,90.68091,2.3076985,0.3490653623363044
2016-02-26,5.6373596,0.7309148,93.3707,1.6298923,-1.654110602232988
2016-02-27,-0.36019897,0.0,93.77329,1.7954829,-1.9364387453032257
2016-02-28,4.4283752,0.0,89.17687,3.9471018,2.371575732556736
2016-02-29,8.0086975,0.0,82.20981,4.973958,2.6612357625701617
2016-03-01,8.631989,0.6593438,97.49822,0.9456175,1.897485447361837
2016-03-02,1.9249573,0.0,81.69032,2.7881224,-0.33747514441058624
2016-03-03,1.4542542,0.0,91.54138,2.639622,2.674207828041316
2016-03-04,7.7184143,0.6264176,87.348434,3.237865,-2.751530158941171
2016-03-05,4.6976624,0.0,92.94574,2.11678,0.3930398014881832
2016-03-06,7.973297,0.0,69.946625,4.185117,1.9335110914738232
2016-03-07,7.517975,0.04122927,95.57765,2.354209,2.3872070678170956
2016-03-08,6.266754,0.030592114,97.56152,2.9570882,-0.3411347542058224
2016-03-09,4.1876526,0.0,90.97521,2.7781518,-1.4148061231936124
2016-03-10,5.7831116,0.0,91.93084,3.0438952,-1.854978890371644
2016-03-11,8.793854,0.018024657,93.647125,1.8311734,-1.797320321700569
2016-03-12,8.675201,0.08578539,94.412575,1.4437121,-2.040713743166003
2016-03-13,6.3805237,0.0,91.1013,2.5089571,-1.997684287667118
